10000)min_dv = 1000000000; low = 0; high = 0
17000)min_dv = 1000000000; low = 0; high = 0
24000)min_dv = 4831.485197482808; low = 17000; high = 74000
31000)min_dv = 4831.485197482808; low = 17000; high = 74000
38000)min_dv = 4831.485197482808; low = 17000; high = 74000
45000)min_dv = 4831.485197482808; low = 17000; high = 74000
10000)min_dv = 1000000000; low = 0; high = 0
10500)min_dv = 1000000000; low = 0; high = 0
11000)min_dv = 1000000000; low = 0; high = 0
11500)min_dv = 1000000000; low = 0; high = 0
12000)min_dv = 1000000000; low = 0; high = 0
12500)min_dv = 1000000000; low = 0; high = 0
13000)min_dv = 1000000000; low = 0; high = 0
13500)min_dv = 1000000000; low = 0; high = 0
14000)min_dv = 1000000000; low = 0; high = 0
14500)min_dv = 1000000000; low = 0; high = 0
15000)min_dv = 4777.064203021075; low = 14500; high = 86500
15500)min_dv = 4777.064203021075; low = 14500; high = 86500
16000)min_dv = 4777.064203021075; low = 14500; high = 86500
16500)min_dv = 4777.064203021075; low = 14500; high = 86500
17000)min_dv = 4777.064203021075; low = 14500; high = 86500
17500)min_dv = 4777.064203021075; low = 14500; high = 86500
18000)min_dv = 4777.064203021075; low = 14500; high = 86500
18500)min_dv = 4777.064203021075; low = 14500; high = 86500
19000)min_dv = 4777.064203021075; low = 14500; high = 86500
19500)min_dv = 4777.064203021075; low = 14500; high = 86500
20000)min_dv = 4777.064203021075; low = 14500; high = 86500
20500)min_dv = 4777.064203021075; low = 14500; high = 86500
21000)min_dv = 4777.064203021075; low = 14500; high = 86500
21500)min_dv = 4777.064203021075; low = 14500; high = 86500
22000)min_dv = 4777.064203021075; low = 14500; high = 86500
22500)min_dv = 4777.064203021075; low = 14500; high = 86500
23000)min_dv = 4777.064203021075; low = 14500; high = 86500
23500)min_dv = 4777.064203021075; low = 14500; high = 86500
24000)min_dv = 4777.064203021075; low = 14500; high = 86500
24500)min_dv = 4777.064203021075; low = 14500; high = 86500
25000)min_dv = 4777.064203021075; low = 14500; high = 86500
25500)min_dv = 4777.064203021075; low = 14500; high = 86500
26000)min_dv = 4777.064203021075; low = 14500; high = 86500
26500)min_dv = 4777.064203021075; low = 14500; high = 86500
27000)min_dv = 4777.064203021075; low = 14500; high = 86500
27500)min_dv = 4777.064203021075; low = 14500; high = 86500
28000)min_dv = 4777.064203021075; low = 14500; high = 86500
28500)min_dv = 4777.064203021075; low = 14500; high = 86500
29000)min_dv = 4777.064203021075; low = 14500; high = 86500
29500)min_dv = 4777.064203021075; low = 14500; high = 86500
10000)min_dv = 1000000000; low = 0; high = 0
15000)min_dv = 3562.259406436583; low = 10000; high = 51000
20000)min_dv = 3562.259406436583; low = 10000; high = 51000
25000)min_dv = 3562.259406436583; low = 10000; high = 51000
