10000)min_dv = 1000000000; low = 0; high = 0
17000)min_dv = 4809.727908484564; low = 10000; high = 46000
24000)min_dv = 4809.727908484564; low = 10000; high = 46000
31000)min_dv = 4809.727908484564; low = 10000; high = 46000
38000)min_dv = 4809.727908484564; low = 10000; high = 46000
45000)min_dv = 4809.727908484564; low = 10000; high = 46000
10000)min_dv = 1000000000; low = 0; high = 0
10500)min_dv = 4770.31207323383; low = 10000; high = 41000
11000)min_dv = 4770.31207323383; low = 10000; high = 41000
11500)min_dv = 4770.31207323383; low = 10000; high = 41000
12000)min_dv = 4770.31207323383; low = 10000; high = 41000
12500)min_dv = 4770.31207323383; low = 10000; high = 41000
13000)min_dv = 4770.31207323383; low = 10000; high = 41000
13500)min_dv = 4770.31207323383; low = 10000; high = 41000
14000)min_dv = 4770.31207323383; low = 10000; high = 41000
14500)min_dv = 4770.31207323383; low = 10000; high = 41000
15000)min_dv = 4770.31207323383; low = 10000; high = 41000
15500)min_dv = 4770.31207323383; low = 10000; high = 41000
16000)min_dv = 4770.31207323383; low = 10000; high = 41000
16500)min_dv = 4770.31207323383; low = 10000; high = 41000
17000)min_dv = 4770.31207323383; low = 10000; high = 41000
17500)min_dv = 4770.31207323383; low = 10000; high = 41000
18000)min_dv = 4770.31207323383; low = 10000; high = 41000
18500)min_dv = 4770.31207323383; low = 10000; high = 41000
19000)min_dv = 4770.31207323383; low = 10000; high = 41000
19500)min_dv = 4770.31207323383; low = 10000; high = 41000
20000)min_dv = 4770.31207323383; low = 10000; high = 41000
20500)min_dv = 4770.31207323383; low = 10000; high = 41000
21000)min_dv = 4770.31207323383; low = 10000; high = 41000
21500)min_dv = 4770.31207323383; low = 10000; high = 41000
22000)min_dv = 4770.31207323383; low = 10000; high = 41000
22500)min_dv = 4770.31207323383; low = 10000; high = 41000
23000)min_dv = 4770.31207323383; low = 10000; high = 41000
23500)min_dv = 4770.31207323383; low = 10000; high = 41000
24000)min_dv = 4770.31207323383; low = 10000; high = 41000
24500)min_dv = 4770.31207323383; low = 10000; high = 41000
25000)min_dv = 4770.31207323383; low = 10000; high = 41000
25500)min_dv = 4770.31207323383; low = 10000; high = 41000
26000)min_dv = 4770.31207323383; low = 10000; high = 41000
26500)min_dv = 4770.31207323383; low = 10000; high = 41000
27000)min_dv = 4770.31207323383; low = 10000; high = 41000
27500)min_dv = 4770.31207323383; low = 10000; high = 41000
28000)min_dv = 4770.31207323383; low = 10000; high = 41000
28500)min_dv = 4770.31207323383; low = 10000; high = 41000
29000)min_dv = 4770.31207323383; low = 10000; high = 41000
29500)min_dv = 4770.31207323383; low = 10000; high = 41000
