30000)min_dv = 1000000000; low = 0; high = 0
30500)min_dv = 5106.448785177124; low = 30000; high = 31000
31000)min_dv = 5106.448785177124; low = 30000; high = 31000
31500)min_dv = 5106.448785177124; low = 30000; high = 31000
32000)min_dv = 5106.448785177124; low = 30000; high = 31000
32500)min_dv = 5106.448785177124; low = 30000; high = 31000
33000)min_dv = 5106.448785177124; low = 30000; high = 31000
33500)min_dv = 5106.448785177124; low = 30000; high = 31000
34000)min_dv = 5106.448785177124; low = 30000; high = 31000
34500)min_dv = 5106.448785177124; low = 30000; high = 31000
35000)min_dv = 5106.448785177124; low = 30000; high = 31000
35500)min_dv = 5106.448785177124; low = 30000; high = 31000
36000)min_dv = 5106.448785177124; low = 30000; high = 31000
36500)min_dv = 5106.448785177124; low = 30000; high = 31000
37000)min_dv = 5106.448785177124; low = 30000; high = 31000
37500)min_dv = 5106.448785177124; low = 30000; high = 31000
38000)min_dv = 5106.448785177124; low = 30000; high = 31000
38500)min_dv = 5106.448785177124; low = 30000; high = 31000
39000)min_dv = 5106.448785177124; low = 30000; high = 31000
39500)min_dv = 5106.448785177124; low = 30000; high = 31000
40000)min_dv = 5106.448785177124; low = 30000; high = 31000
40500)min_dv = 5106.448785177124; low = 30000; high = 31000
41000)min_dv = 5106.448785177124; low = 30000; high = 31000
41500)min_dv = 5106.448785177124; low = 30000; high = 31000
42000)min_dv = 5106.448785177124; low = 30000; high = 31000
42500)min_dv = 5106.448785177124; low = 30000; high = 31000
43000)min_dv = 5106.448785177124; low = 30000; high = 31000
43500)min_dv = 5106.448785177124; low = 30000; high = 31000
44000)min_dv = 5106.448785177124; low = 30000; high = 31000
44500)min_dv = 5106.448785177124; low = 30000; high = 31000
45000)min_dv = 5106.448785177124; low = 30000; high = 31000
45500)min_dv = 5106.448785177124; low = 30000; high = 31000
46000)min_dv = 5106.448785177124; low = 30000; high = 31000
46500)min_dv = 5106.448785177124; low = 30000; high = 31000
47000)min_dv = 5106.448785177124; low = 30000; high = 31000
47500)min_dv = 5106.448785177124; low = 30000; high = 31000
48000)min_dv = 5106.448785177124; low = 30000; high = 31000
48500)min_dv = 5106.448785177124; low = 30000; high = 31000
49000)min_dv = 5106.448785177124; low = 30000; high = 31000
49500)min_dv = 5106.448785177124; low = 30000; high = 31000
