10000)min_dv = 1000000000; low = 0; high = 0
17000)min_dv = 4936.253598334593; low = 10000; high = 39000
24000)min_dv = 4936.253598334593; low = 10000; high = 39000
31000)min_dv = 4936.253598334593; low = 10000; high = 39000
38000)min_dv = 4936.253598334593; low = 10000; high = 39000
45000)min_dv = 4936.253598334593; low = 10000; high = 39000
10000)min_dv = 1000000000; low = 0; high = 0
10500)min_dv = 4878.035911159302; low = 10000; high = 34500
11000)min_dv = 4878.035911159302; low = 10000; high = 34500
11500)min_dv = 4878.035911159302; low = 10000; high = 34500
12000)min_dv = 4878.035911159302; low = 10000; high = 34500
12500)min_dv = 4878.035911159302; low = 10000; high = 34500
13000)min_dv = 4878.035911159302; low = 10000; high = 34500
13500)min_dv = 4878.035911159302; low = 10000; high = 34500
14000)min_dv = 4878.035911159302; low = 10000; high = 34500
14500)min_dv = 4878.035911159302; low = 10000; high = 34500
15000)min_dv = 4878.035911159302; low = 10000; high = 34500
15500)min_dv = 4878.035911159302; low = 10000; high = 34500
16000)min_dv = 4878.035911159302; low = 10000; high = 34500
16500)min_dv = 4878.035911159302; low = 10000; high = 34500
17000)min_dv = 4878.035911159302; low = 10000; high = 34500
17500)min_dv = 4878.035911159302; low = 10000; high = 34500
18000)min_dv = 4878.035911159302; low = 10000; high = 34500
18500)min_dv = 4878.035911159302; low = 10000; high = 34500
19000)min_dv = 4878.035911159302; low = 10000; high = 34500
19500)min_dv = 4878.035911159302; low = 10000; high = 34500
20000)min_dv = 4878.035911159302; low = 10000; high = 34500
20500)min_dv = 4878.035911159302; low = 10000; high = 34500
21000)min_dv = 4878.035911159302; low = 10000; high = 34500
21500)min_dv = 4878.035911159302; low = 10000; high = 34500
22000)min_dv = 4878.035911159302; low = 10000; high = 34500
22500)min_dv = 4878.035911159302; low = 10000; high = 34500
23000)min_dv = 4878.035911159302; low = 10000; high = 34500
23500)min_dv = 4878.035911159302; low = 10000; high = 34500
24000)min_dv = 4878.035911159302; low = 10000; high = 34500
24500)min_dv = 4878.035911159302; low = 10000; high = 34500
25000)min_dv = 4878.035911159302; low = 10000; high = 34500
25500)min_dv = 4878.035911159302; low = 10000; high = 34500
26000)min_dv = 4878.035911159302; low = 10000; high = 34500
26500)min_dv = 4878.035911159302; low = 10000; high = 34500
27000)min_dv = 4878.035911159302; low = 10000; high = 34500
27500)min_dv = 4878.035911159302; low = 10000; high = 34500
28000)min_dv = 4878.035911159302; low = 10000; high = 34500
28500)min_dv = 4878.035911159302; low = 10000; high = 34500
29000)min_dv = 4878.035911159302; low = 10000; high = 34500
29500)min_dv = 4878.035911159302; low = 10000; high = 34500
10000)min_dv = 1000000000; low = 0; high = 0
15000)min_dv = 3595.8796278546038; low = 10000; high = 41000
20000)min_dv = 3595.8796278546038; low = 10000; high = 41000
25000)min_dv = 3595.8796278546038; low = 10000; high = 41000
